node,internal_ip,kernel,os,ready,capture_interface_current,capture_mode_current,cpu_cores_current,required_capture_mode,required_nic_speed_gbps,lab_nic_pci,lab_nic_driver,lab_nic_firmware,lab_queue_count,lab_numa_node,traffic_generator_port,switch_port,operator_decision,operator_comment
8-2tb,10.0.5.8,5.10.0-153.56.0.134.oe2203sp2.x86_64,openEuler 22.03 (LTS-SP2),True,ens9f0,af_packet,"0,1",af_xdp,100,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD: approve | modify | exclude,TBD
zeus-server,10.0.5.9,5.10.0-153.56.0.134.oe2203sp2.x86_64,openEuler 22.03 (LTS-SP2),True,ens9f0,af_packet,"0,1",af_xdp,100,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD: approve | modify | exclude,TBD
